Name of community,Finalist,Province or Territory,Population Based on 2016 Census,Prize category,Challenge statement,Summary,Focus areas,Community system/service areas,Technologies,URL
Walpole Island First Nation (group),No,Ontario,1589,$ 10 million,"Our communities will increase sense of empowerment and inclusion by ensuring every person has access to available, affordable, accessible, and safe transportation whenever they need it.","Chatham-Kent, a single-tier municipality of 23 predominately rural communities, is partnering with two neighbouring First Nations to promote reconciliation by taking deliberate action to create an environment where everyone can achieve their full potential, regardless of where they live.Equitable access to transportation is key to creating a sense of empowerment and inclusion, providing access to opportunities for all, including seniors, persons with disabilities, youth, persons with low income, and families with young children.On-demand transportation, truly democratized and available to all, can only be achieved by enhancing existing transit systems using data and connected technology and by forming partnerships. Our plan will be transformative for our communities and essential to delivering the goals of our community strategic plans; restoring and maintaining vibrant smaller communities; and addressing the twin demographic challenges of seniors wishing to remain in their homes while attracting and retaining young people.Empowerment and inclusion are fundamental challenges in rural geographies across Canada.  Failure to address these challenges, will result in continued population decline.  Through this Smart Cities Challenge, we will create a sustainable, inclusive, transportation system that promotes reconciliation, population stabilization and growth, and becomes a scalable model for rural regions across the country.",Empowerment and inclusion|Mobility,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Mobile applications|Networks|Open data platforms|Payment platforms|Other: Please specify,https://www.chatham-kent.ca/local-government/smart-cities-challenge
Williams Lake,No,British Columbia,10753,$ 5 million,"The City of Williams Lake will become a model to demonstrate how a small community, through bold ideas, innovation, connectivity, data and technology, can contribute to a healthy ecosystem by protecting and conserving our precious water resources by empowering and educating our residents on the smart use of water.","The City of Williams Lake is undertaking an endeavour that will see the use of SMART Technology to protect, conserve and educate our community on our city’s water resources.   The City seeks to install SMART Metering for water distribution that would empower home owners and residents to consider their water usage using real time data.  Residents will be empowered to make choices regarding their personal water consumption armed with information on consumption, peak demand times, and ways that they can conserve.  Residents will also be alerted to water usage spikes so that they have an early warning system in place for when there is a mechanical problem on their property.  Comparative analysis will give residents goal posts to strive for and real time feedback on the results of their efforts.",Economic opportunity|Environmental quality,Economic development|Education and training|Environment|Public health|Water and wastewater,Assistive technology|Big data analytics|Environmental monitoring|Sensors,http://williamslake.ca/DocumentCenter/View/2144/impactcanadianinitiative_revised
Woodstock/Oxford County (group),No,Ontario,40902,$ 10 million,"Healthy, energy efficient, affordable buildings - where we live, work and play -  are fundamental to community well-being. Through enhancement of data and technology, Oxford County's Building Transformation project will demonstrate a minimum 10% improvement in  occupant health, a 50% reduction in energy consumption, and an overall affordability improvement of 10%.","Our approach to a Smart Community is based on the premise that our citizens spend most of their time within, or moving between the built environment, and we can most effectively connect with our citizens by providing education and awareness, while concurrently improving the built environment in which they spend most of their lives.Starting with energy modelling and high-performance building design, we will demonstrate how an enhanced built-environment can help reduce poverty, improve health, and enable the development of key services that improve quality of life for our most vulnerable.Through our partnership with Western University, multiple data streams from three Building Transformation projects will enable us to identify building performance success and failure outcomes, leading to opportunities for improvement. This information will empower building occupants to make decisions to improve to their own comfort and affordability outcomes, while enabling economic opportunities with our community, by developing new supply chain and innovative research applications. Oxford believes a Smart City is a Sustainable City. Shaped by our community for our community, the Future Oxford Community Sustainability Plan outlines our community’s vision of a vibrant, prosperous and responsible Oxford for all by achieving community sustainability throughout Oxford. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Other: please specify,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.oxfordcounty.ca/smartcities
Zorra/Oxford County (group),No,Ontario,8139,$ 10 million,"Healthy, energy efficient, affordable buildings - where we live, work and play -  are fundamental to community well-being. Through enhancement of data and technology, Oxford County's Building Transformation project will demonstrate a minimum 10% improvement in  occupant health, a 50% reduction in energy consumption, and an overall affordability improvement of 10%.","Our approach to a Smart Community is based on the premise that our citizens spend most of their time within, or moving between the built environment, and we can most effectively connect with our citizens by providing education and awareness, while concurrently improving the built environment in which they spend most of their lives.Starting with energy modelling and high-performance building design, we will demonstrate how an enhanced built-environment can help reduce poverty, improve health, and enable the development of key services that improve quality of life for our most vulnerable.Through our partnership with Western University, multiple data streams from three Building Transformation projects will enable us to identify building performance success and failure outcomes, leading to opportunities for improvement. This information will empower building occupants to make decisions to improve to their own comfort and affordability outcomes, while enabling economic opportunities with our community, by developing new supply chain and innovative research applications. Oxford believes a Smart City is a Sustainable City. Shaped by our community for our community, the Future Oxford Community Sustainability Plan outlines our community’s vision of a vibrant, prosperous and responsible Oxford for all by achieving community sustainability throughout Oxford. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Other: please specify,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.oxfordcounty.ca/smartcities
Biigtigong Nishnaabeg (Pic River First Nation),Yes,Ontario,443,$ 5 million,"By means of active, cross-generational, technology-empowered, real-world participation in the intergenerational transfer of traditional Nishnaabe knowledge through the medium of our language, and the bilingual delivery of modern K-12 STEM knowledge, our community will transform our youth into better-educated, more employable, better-grounded, and more holistically Nishaabe people.","We are indigenously embracing the bilingual (Nishnaabemwin and English), K-12 STEM education of our youth. At the end of high school, our youth will have received more than 2,000 hours of mobile-enabled, online Nishnaabe-language immersion instruction in all of our core aadsookaanan (sacred stories). Additionally, our youth will be nearly-completely able to comprehend spoken Nishnaabemwin, will have attained a basic proficiency in coding and robotics, and will possess a strong foundation in mathematics and science. All STEM subject videos and courses will be available under a creative commons license, in both Nishnaabemwin and in English. All of this education will occur online with a strong real-world participation component built into the program. Our community's open source, mobile-enabled, eLearning platform facilitates the learning of the STEM subjects. And, our open source, mobile-enabled, eAcquisition platform facilitates the acquisition of our Nishnaabe language. The entire educational experience is tied together with our community's mobile-enabled meetup platform serving as a bridge between the digital, online world and the material, real world. Our youth are strongly encouraged and empowered to participate not only in online communities, but in the traditional Nishnaabe activities going on in the real-world community, as well",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Social services,Cloud computing|Mobile applications|Networks|Open data platforms|Video analytics,http://biigtigong.com/language/publications/smart-cities-challenge/
Brazeau County (group),Yes,Alberta,7771,$ 10 million,"Our agricultural community will revitalize and grow through the connection of people to the land and food while attracting citizens to share in its prosperous, innovative and resilient way of life.","This proposal has a lofty goal.  The applicants seek to increase the prosperity and safety of rural communities – farm and rural residential alike – through the full use of integrated data and connected technologies.  Increased rural prosperity will support more people living on farms and in rural areas. This will require greater technology adoption, proper decision support tools and market linkage between rural/farm areas and urban Canada and beyond. The proposal seeks to build more prosperous market and knowledge links with urban Canada and beyond.  Data-driven discussions will bring farmers closer to people’s kitchen tables and address misconceptions about how our food is produced.  We will improve the safety and security in rural areas by reducing accidents between large machinery, and improve regional security through technology adoption. Overall, these initiatives seek to create a more prosperous and safe way of life in rural Canada.  In turn, a growing population is anticipated; a greater interest in living a rural lifestyle will prompt more young people to move into farming, and incent greater inter-generational farm transfer. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater|Other: please specify,Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://www.parklandcounty.com
City of Airdrie & Area,Yes,Alberta,72874,$ 10 million,"Become Canada’s healthiest community, by engaging and securing the participation of all in the community to create a community healthy culture that improves social, economic, physical and health care environments and individual characteristics and behaviours, so that healthy life expectancy is increased by 3+ years over 5 years.","We will become Canada’s Healthiest Community – Own Our Own Health.  We will increase healthy life expectancy is increased by 3+ years over 5 years.  That will be enabled through our Smart Community Project.Vision “Own Our Own Health Information: Enabling efforts to be Canada’s Healthiest Community – Individually and Collectively”.Mission “Create a Community “Health Information Sharing” Culture”Over the past two years, we have engaged hundreds of individuals and dozens of organizations the community in thinking about what it would take to be Canada’s Healthiest Community. Five projects have been identified:Airdrie & Area Blue Zone Project Airdrie & Area Health Park Project Airdrie & Area Need-Based Networks Project Airdrie & Area Health Coop Project Airdrie & Area Smart Community Project The Smart Community Project will leverage and connect existing and add new infrastructure, platforms and applications to create an open data platform for use by all.  Data will be secured and customized content pushed out to enable informed action.The City of Airdrie sponsored this project.  We know that one party cannot “do it to” the community.  A Health Coop has been incorporated as the tool to bring all together as equal owners and equal beneficiaries.",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables,http://www.airdrie.ca/smartcities
City of Cambridge/Waterloo Region (group),Yes,Ontario,129920,$ 50 million,"We will become the benchmark community in Canada for child and youth wellbeing by using early intervention, youth engagement and a connected-community framework to create adaptive, data-driven programs and scalable learning technologies that improve early child development, mental health and high school graduation rates.","We have selected Healthy Children and Youth as our smart cities challenge area. Based on data and community consultation, we have identified six priority areas of focus that will address through our smart cities initiative: early child development; mental health; bullying; literacy rates; high school graduation rates; and youth sense of belonging. Working with our local youth and community partners from the private, not-for-profit, educational and government sectors, we will develop connected community spaces, broader education platforms and technology-based programing that supports equity, mentorship, volunteering, mental health, food security and nutrition and STEAM learning.In partnership with UNICEF Canada and their One Youth Initiative, we will build Canada’s first real-time child and youth wellbeing dashboard. Using a community-based data platform that connects data from multiple organizations, we will create a framework that measures child and youth wellbeing in Waterloo Region against UNICEF’s Canada’s Child and Youth Wellbeing Index. Together, we will work with UNICEF Canada to scale this framework to communities of all sizes across the country helping to make Canada the number one country in the world for child and youth wellbeing over the next decade.",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables,https://www.regionofwaterloo.ca/SmartWaterlooRegion/
City of Côte Saint-Luc,Yes,Quebec,34464,$ 10 million,"Our city will provide socially isolated seniors with confidence they can live more autonomously, secure in the knowledge that the city is looking out for their well-being.","Spaces in nursing homes and senior residences are limited and these accommodations often cost more than seniors can afford. Many seniors prefer to continue living in their own homes and apartments. This puts them at risk, especially if they have health concerns, live alone, or have a limited support network.More than 25% of all seniors in Canada live alone where there is often no one to watch over them to intervene when a problem arises. Our city offers many senior programs, but we feel it crucial to find technological ways to connect with isolated seniors. We seek to implement a comprehensive yet cost effective solution that will provide peace of mind, security, and support for those who need it. It must be easy to use and affordable.Our solution will help seniors who live alone by installing home monitoring sensors, GPS tracking, fall sensors and environmental sensors. It will use AI techniques to identify problems and share information gleaned with community, city and health services.It will allow us to know if the person living alone is okay, or not okay, and will route “situation analysis” reports to appropriate service organizations so that they can deliver timely intervention.",Environmental quality|Healthy living and recreation,Emergency services and enforcement|Public health|Recreation and parks|Social services,Artificial intelligence (AI)|Assistive technology|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Open data platforms|Sensors|Wearables,http://www.cotesaintluc.org/smartcitieschallenge
City of Edmonton,Yes,Alberta,932546,$ 50 million,"Edmonton will lead the transformation of Canadian healthcare using an unprecedented municipal approach by focusing on leveraging relationships, health data and innovative technologies to provide a personalized health connection and experience as unique as the health of every Edmontonian.","A Smart City is first and foremost a Healthy City. Recognizing urbanization and the increasing role residents’ health affects and is affected by City services, the City of Edmonton proposes that municipal-level intervention is necessary. The City of Edmonton is facilitating the creation of a Healthy City Ecosystem (a partnership of government, industry, academia and residents) to work collaboratively to provide integrated, community-based health support. Addressing social determinants of health, such as connectedness, loneliness and sense of belonging is an innovative, transformational approach, shifting the focus from treating symptoms to one of prevention. A smart cities approach will enable the creation of a single Health Data Repository, connecting disparate datasets from the stakeholders and the data collected by new technologies, ensuring anonymity and integration to facilitate assessment, analytics and data mining. Residents will access the new municipal health support through a digital tool and devices, allowing them to identify and access additional services, relationships and technologies to improve their individual health and connectedness. ",Empowerment and inclusion|Healthy living and recreation,Economic development|Education and training|Emergency services and enforcement|Land use planning and development|Public health|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables|Other: Please specify,https://smartcities.edmonton.ca/edmontons-approach/#application
City of Guelph (group),No,Ontario,131794,$ 10 million,"Guelph/Wellington will become Canada’s first technology-enabled Circular Food Economy, reimagining an inclusive food-secure ecosystem that increases access to affordable, nutritious food by 50%, where “waste” becomes a resource, 50 new circular businesses and collaborations are created, and circular economic revenues are increased by 50%: 50x50x50 by 2025.","Food is a fundamental requirement of life on this planet. However, the basic structure of today’s linear “take-make-dispose” food system is unsustainable — economically, socially and environmentally.Guelph-Wellington aims to become Canada’s first circular food economy, bringing our food system and communities back into healthy balance. Through our rural-urban partnership, we will enhance access to nutritious food, turn “waste” into valuable resources and create new economic opportunities.Situated in the heart of Ontario’s Innovation Corridor, Guelph/Wellington is a hub of food innovation and environmental sustainability, making us uniquely positioned to achieve this vision. Leveraging local expertise, big data and the latest technology, we will transform our food ecosystem into a connected “living lab” where researchers, social innovators, farmers, entrepreneurs and other community partners collaborate to solve complex food problems. The Smart Cities Challenge is an important catalyst, enabling us to fund impactful circular food projects, create collaboration spaces, undertake baseline data mapping to guide programs and planning, create a suite of digital tools, and more.Together, we will build the “Circular Food Community of the Future,” creating positive quadruple bottom line outcomes — prosperity, planet, people and purpose — and share the roadmap with the communities across the country and around the world. ",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Environment|Land use planning and development|Public health|Social services|Waste,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics,https://guelph.ca/city-hall/city-administrators-office/smart-cities-challenge/
City of Kitchener/Waterloo Region (group),Yes,Ontario,233222,$ 50 million,"We will become the benchmark community in Canada for child and youth wellbeing by using early intervention, youth engagement and a connected-community framework to create adaptive, data-driven programs and scalable learning technologies that improve early child development, mental health and high school graduation rates.","We have selected Healthy Children and Youth as our smart cities challenge area. Based on data and community consultation, we have identified six priority areas of focus that will address through our smart cities initiative: early child development; mental health; bullying; literacy rates; high school graduation rates; and youth sense of belonging. Working with our local youth and community partners from the private, not-for-profit, educational and government sectors, we will develop connected community spaces, broader education platforms and technology-based programing that supports equity, mentorship, volunteering, mental health, food security and nutrition and STEAM learning.In partnership with UNICEF Canada and their One Youth Initiative, we will build Canada’s first real-time child and youth wellbeing dashboard. Using a community-based data platform that connects data from multiple organizations, we will create a framework that measures child and youth wellbeing in Waterloo Region against UNICEF’s Canada’s Child and Youth Wellbeing Index. Together, we will work with UNICEF Canada to scale this framework to communities of all sizes across the country helping to make Canada the number one country in the world for child and youth wellbeing over the next decade.",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables,https://www.regionofwaterloo.ca/SmartWaterlooRegion/
City of Richmond,Yes,British Columbia,198310,$ 10 million,"Richmond, an island city with a rapidly growing and diverse population and home of nationally significant infrastructure and government services, requires resilient physical and virtual platforms that are integrated seamlessly across all levels of government to enhance quality of life in day-to-day activities and minimize community impacts from major disasters.","Richmond is comprised of 17 islands at the mouth of the Fraser River, on the West Coast. A gateway to the Asia Pacific, over 65% of the population originates from Asia Pacific countries. Home to YVR, the Port of Vancouver, and 30 minutes from the US border, Richmond’s population, currently 220,000, is expected to reach over 300,000 with the City Centre population tripling, by 2041.Multi-levels of government and businesses have incident response plans and activation protocols utilizing for communication technology, decision making, and asset mobilization/ movement during an incident. The challenge is systems are not currently interconnected and integrated. This impedes response efforts, resulting in nuisance for citizens with minor events or potentially more serious consequences associated with major events. Richmond has invested in stable, reliable infrastructure and services as the basis for implementation of the Smart Cities Challenge. Citizen communication and built-in system resilience are essential to an integrated platform enabling data driven decision making to improve response rates and reduce recovery time. Project goals: Protect our island city; Integrate citizen, infrastructure and emergency data and communication platforms; Bridge language barriers; and Create scalable systems that both enhance daily life and improve emergency response rates and recovery times.",Mobility|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,http://smartcity.richmond.ca/
City of Surrey (group),Yes,British Columbia,517887,$ 50 million,"Surrey and Vancouver will implement Canada’s first two collision-free multi-modal transportation corridors, leveraging autonomous vehicles and smart technologies to demonstrate the path to safer, healthier and more socially connected communities while reducing emissions, improving transportation efficiency and enhancing livability in the face of rapid growth and traffic congestion. #SmarterTogether","Surrey and Vancouver will implement Canada’s first two collision-free multi-modal transportation corridors, taking an ambitious step toward improving our residents’ quality of life by removing transportation safety risk, reducing greenhouse gas emissions, and increasing transportation efficiency.We will provide a model for Canadian cities and will turn Canada into a global autonomous vehicle and smart mobility leader. To achieve this, our two collision-free corridors will be equipped with smart mobility solutions related to:• autonomous shuttles• smart mobility infrastructure• advanced data and analytics, and• enhanced user experience The Surrey-Vancouver joint proposal is the result of an extensive, inclusive, and community-first engagement with our residents and an unprecedented collaboration between our two cities. Our journey together has involved rich conversations that have led to strong bonds and a new inter-city culture. We have learned and innovated together to propose a vision that will increase transportation safety, contribute to a greener environment, and build stronger communities.We have become #SmarterTogether through the Smart Cities Challenge. Our collision-free multi-modal transportation corridors, enabled by smart city technology, represent a bold step in the move from incremental transportation safety improvements to exponential progress. ",Mobility|Safety and security,Economic development|Emergency services and enforcement|Environment|Land use planning and development|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics,http://www.smartertogether.ca/application
City of Vancouver (group),Yes,British Columbia,631486,$ 50 million,"Surrey and Vancouver will implement Canada’s first two collision-free multi-modal transportation corridors, leveraging autonomous vehicles and smart technologies to demonstrate the path to safer, healthier and more socially connected communities while reducing emissions, improving transportation efficiency and enhancing livability in the face of rapid growth and traffic congestion. #SmarterTogether","Surrey and Vancouver will implement Canada’s first two collision-free multi-modal transportation corridors, taking an ambitious step toward improving our residents’ quality of life by removing transportation safety risk, reducing greenhouse gas emissions, and increasing transportation efficiency.We will provide a model for Canadian cities and will turn Canada into a global autonomous vehicle and smart mobility leader. To achieve this, our two collision-free corridors will be equipped with smart mobility solutions related to:• autonomous shuttles• smart mobility infrastructure• advanced data and analytics, and• enhanced user experience The Surrey-Vancouver joint proposal is the result of an extensive, inclusive, and community-first engagement with our residents and an unprecedented collaboration between our two cities. Our journey together has involved rich conversations that have led to strong bonds and a new inter-city culture. We have learned and innovated together to propose a vision that will increase transportation safety, contribute to a greener environment, and build stronger communities.We have become #SmarterTogether through the Smart Cities Challenge. Our collision-free multi-modal transportation corridors, enabled by smart city technology, represent a bold step in the move from incremental transportation safety improvements to exponential progress. ",Mobility|Safety and security,Economic development|Emergency services and enforcement|Environment|Land use planning and development|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics,http://www.smartertogether.ca/application
City of Waterloo/Waterloo Region (group),Yes,Ontario,104986,$ 50 million,"We will become the benchmark community in Canada for child and youth wellbeing by using early intervention, youth engagement and a connected-community framework to create adaptive, data-driven programs and scalable learning technologies that improve early child development, mental health and high school graduation rates.","We have selected Healthy Children and Youth as our smart cities challenge area. Based on data and community consultation, we have identified six priority areas of focus that will address through our smart cities initiative: early child development; mental health; bullying; literacy rates; high school graduation rates; and youth sense of belonging. Working with our local youth and community partners from the private, not-for-profit, educational and government sectors, we will develop connected community spaces, broader education platforms and technology-based programing that supports equity, mentorship, volunteering, mental health, food security and nutrition and STEAM learning.In partnership with UNICEF Canada and their One Youth Initiative, we will build Canada’s first real-time child and youth wellbeing dashboard. Using a community-based data platform that connects data from multiple organizations, we will create a framework that measures child and youth wellbeing in Waterloo Region against UNICEF’s Canada’s Child and Youth Wellbeing Index. Together, we will work with UNICEF Canada to scale this framework to communities of all sizes across the country helping to make Canada the number one country in the world for child and youth wellbeing over the next decade.",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables,https://www.regionofwaterloo.ca/SmartWaterlooRegion/
Cree Nation of Eastmain,Yes,Quebec,866,$ 5 million,"""IMPROVING COMMUNITY WELL-BEING""Our community will develop an affordable Net Zero Energy Housing Program, offering culturally appropriate designs, using smart technologies, innovative building techniques and alternative energy systems in order to address the housing shortage crisis, the poor-quality and costly construction of houses in Eastmain and Indigenous communities across Canada. ","As our Challenge Statement says, the Cree Nation of Eastmain (CNE) is committed to improving the quality of life and the well-being of its members. As a remote Indigenous community, CNE, like other indigenous communities across Canada, is faced with a critical housing shortage, compounded by poor quality and costly construction. Housing is inarguably the foundation of a strong, healthy community without which community’s struggle with various social, environmental and health issues. Through local consultations, CNE has determined that high construction costs combined with the high costs of home operation and maintenance, the result of inappropriate construction materials and techniques, are significant barriers to homeownership in Eastmain.Smart technologies, sustainable building practices and alternative energy systems are the cornerstone of CNE’s plan to develop, in collaboration with public and private sector stakeholders, an affordable, culturally-appropriate Net Zero Energy (NZE) housing program, for new and existing housing, to respond to its housing crisis. The NZE program is designed to encourage openness, transparency and transferability.Through capacity-building, job creation and encouraging community participation, our NZE program will foster prosperity and a sense of pride in the community and in the culture, becoming a model for Indigenous communities across Canada.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Social services|Other: please specify,Assistive technology|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Payment platforms|Sensors|Other: Please specify,http://eastmain.ca
Fredericton (group),Yes,New Brunswick,58220,$ 10 million,"“My city does not recognize me or connect me to what matters most; Fredericton will collaborate with First Nations to create an accessible, welcoming, supportive city for youth, newcomers, and an aging population, empowering everyone with a Personalized Inclusion Plan that connects people to create an exceptional quality of life.”","After conducting many rounds of public consultation and listening to citizens speak with passion about issues ranging from basic human needs to the desire for better services, one thing became abundantly clear… the biggest issue facing the community was different for everyone. With this insight, Smart City Task Force Chair, Adam Bell, approached Deputy Mayor Kate Rogers and asked “what would your best Fredericton be?”Ms. Rogers, well versed in the City’s history, community and ongoing initiatives, responded quickly; “I want to live in a City that empowers me with a personalized inclusion plan connecting me to things that matter most; Imagine Fredericton, a Digital Fredericton that collaborates with First Nations, welcomes youth, supports newcomers and aging populations, connects people, creating an exceptional quality of life with measurable outcomes.”Thus, laying the groundwork for a Smart Cities Challenge submission focusing on:•	initiatives  underway that have meaningful impacts •	a layered approach – core, citizen, and connected community•	putting our most vulnerable, first•	the data, always capture the data •	“It’s personal”•	building to replicateWe will build a Smart City that will recognize, connect and enable all citizens, across generations and cultures, in unique and different ways that are meaningful to them.",Empowerment and inclusion,Arts and culture|Economic development|Education and training|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.fredericton.ca/en/form/smart-cities-challenge
Greater Victoria (group),Yes,British Columbia,367770,$ 10 million,"“Freedom to move”We will collaboratively create a multimodal transportation network that is convenient, green and affordable, which will boost South Islanders’ mobility wellbeing score by at least 20%.","We wish to acknowledge we are on the traditional territory of the Coast Salish First Nations.A Smart City is comprised of countless elements. It is challenging to decide which initiatives to pursue, and what to leave for later. While our ambition was to work on initiatives on multiple fronts, we saw that as a recipe for mediocrity. We want to create something great, which other cities will emulate. That’s why we chose to go deep on transportation. Greater Victoria is not a big city by population. It is, however, an important city strategically. Canada’s 15th largest metropolitan area. A $5 billion high-tech sector. Located in one of the world’s most progressive and innovative regions: The Pacific Northwest. A gateway to Asia. A place where forward-thinkers thrive. A place people visit and tell their friends. We want Greater Victoria to showcase how mobility can be done right. How everybody should enjoy the freedom of mobility. How all points of friction can be eliminated between multiple modes of transit, even in a single trip. How big data, big ideas, and big thinkers can make a big difference in quality of life, while reducing the impact that cities have on the environment.",Empowerment and inclusion|Mobility,Economic development|Education and training|Environment|Land use planning and development|Roads and transportation,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,https://smartsouthisland.com/canadachallenge
Lac Ste Anne County (group),Yes,Alberta,10899,$ 10 million,"Our agricultural community will revitalize and grow through the connection of people to the land and food while attracting citizens to share in its prosperous, innovative and resilient way of life.","This proposal has a lofty goal.  The applicants seek to increase the prosperity and safety of rural communities – farm and rural residential alike – through the full use of integrated data and connected technologies.  Increased rural prosperity will support more people living on farms and in rural areas. This will require greater technology adoption, proper decision support tools and market linkage between rural/farm areas and urban Canada and beyond. The proposal seeks to build more prosperous market and knowledge links with urban Canada and beyond.  Data-driven discussions will bring farmers closer to people’s kitchen tables and address misconceptions about how our food is produced.  We will improve the safety and security in rural areas by reducing accidents between large machinery, and improve regional security through technology adoption. Overall, these initiatives seek to create a more prosperous and safe way of life in rural Canada.  In turn, a growing population is anticipated; a greater interest in living a rural lifestyle will prompt more young people to move into farming, and incent greater inter-generational farm transfer. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater|Other: please specify,Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://www.parklandcounty.com
